sr_t_morris,impact_ratio_morris,sample_at_10pct_min_morris_zd,sample_at_10pct_min_morris_zir,sample_at_10pct_min_z45,sample_at_30pct_min_morris_zd,sample_at_30pct_min_morris_zir,sample_at_30pct_min_morris_z45,sample_at_50pct_min_morris_zd,sample_at_50pct_min_morris_zir,sample_at_50pct_min_z45
0.1,0.7,7620,6839,5492,2980,2801,2049,2267,2245,1482
0.1,0.6,4073,3503,1366,1543,1409,486,1128,1107,331
0.1,0.5,2467,2025,608,905,797,206,634,613,132
0.1,0.4,1613,1257,346,572,483,111,383,361,67
0.1,0.3,1108,817,228,381,305,70,242,220,39
0.1,0.2,785,547,170,262,196,49,157,136,26
0.1,0.1,566,382,149,185,129,41,104,83,20
0.3,0.7,2015,1820,1537,780,738,557,586,584,388
0.3,0.6,1082,942,392,405,374,135,291,289,88
0.3,0.5,658,551,179,238,214,59,163,161,36
0.3,0.4,431,347,105,150,131,33,98,96,19
0.3,0.3,296,229,71,100,84,21,61,59,11
0.3,0.2,210,157,54,68,55,16,39,37,8
0.3,0.1,150,113,49,48,38,14,25,24,6
0.5,0.7,893,815,746,340,325,259,250,252,170
0.5,0.6,483,429,198,177,167,65,124,126,39
0.5,0.5,295,255,93,104,97,29,69,71,17
0.5,0.4,194,164,56,66,61,17,41,43,7
0.5,0.3,134,111,39,44,40,12,25,27,6
0.5,0.2,94,78,31,30,27,9,16,17,4
0.5,0.1,66,59,29,20,19,8,9,12,4
